scenario	inference_runtime	inference_idealized_runtime	inference_runtime_discrepancy	num_tokens_in_prompt	num_tokens	num_output_tokens	exact_match	y=x
boolq:model=openai_davinci	0.6624278116	0.4075566667	0.254871145	1244.746667	1	1	0.7666666667	0.6624278116
boolq:model=openai_curie	0.213489066	0.11091	0.102579066	1244.746667	1	1	0.59	0.213489066
boolq:model=openai_text-davinci-002	0.3597504131	0.4075566667	-0.04780625357	1244.746667	1	1	0.88	0.3597504131
boolq:model=openai_text-davinci-001	0.2625535154	0.4075566667	-0.1450031512	1244.746667	1	1	0.81	0.2625535154
boolq:model=openai_text-curie-001	0.2293609373	0.11091	0.1184509373	1244.746667	1	1	0.5466666667	0.2293609373
boolq:model=ai21_j1-jumbo	0.7089112433	0.3051833333	0.4037279099	954.8933333	1	1	0.78	0.7089112433
boolq:model=ai21_j1-grande	1.762745834			954.8933333	1	1	0.74	1.762745834
boolq:model=ai21_j1-large	0.5860658971	0.0877	0.4983658971	954.8933333	1	1	0.6833333333	0.5860658971
boolq:model=anthropic_stanford-online-helpful-v4-s3	1.745762586	0.2355433333	1.510219252	1244.746667	1	1	0.81	1.745762586
imdb:model=openai_davinci	0.5432334622	0.5189626979	0.02427076426	1637.01	1.026666667	1.026666667	0.9266666667	0.5432334622
imdb:model=openai_curie	0.2174907454	0.145873592	0.07161715337	1637.01	1.016666667	1.016666667	0.8466666667	0.2174907454
imdb:model=openai_text-davinci-002	0.5889909967	0.803622	-0.2146310033	1672.066667	4.42	4.42	0.9366666667	0.5889909967
imdb:model=openai_text-davinci-001	0.2456003753	0.8408026979	-0.5952023226	1637.01	5	5	0.8933333333	0.2456003753
imdb:model=openai_text-curie-001	0.224435873	0.241153592	-0.01671771898	1637.01	4.983333333	4.983333333	0.8933333333	0.224435873
imdb:model=ai21_j1-jumbo	0.9260022791	0.4319066667	0.4940956125	1138.176667	2	2	0.9066666667	0.9260022791
imdb:model=ai21_j1-grande	1.902525405			1138.176667	2	2	0.9266666667	1.902525405
