scenario,inference_runtime,inference_idealized_runtime,inference_runtime_discrepancy,num_prompt_tokens,num_perplexity_tokens,num_output_tokens,finish_reason_length,finish_reason_stop,finish_reason_endoftext,finish_reason_unknown,exact_match
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=8,random=1234,model=ai21_j1-large",0.7116125107,0.215,0.4966125107,512,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=64,random=1234,model=ai21_j1-grande",2.97092464,,,512,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=32,random=1234,model=ai21_j1-grande",2.765464163,,,1024,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,random=1234,model=ai21_j1-large",0.6760065794,0.386,0.2900065794,1,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=32,random=1234,model=ai21_j1-jumbo",1.603981423,2.054,-0.4500185766,1,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=2,random=1234,model=ai21_j1-grande",1.933537459,,,512,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=2,random=1234,model=ai21_j1-grande",1.49840498,,,1536,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=4,random=1234,model=ai21_j1-large",0.5052843809,0.098,0.4072843809,1,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=2,random=1234,model=ai21_j1-large",0.6534063339,0.113,0.5404063339,1024,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=2,random=1234,model=ai21_j1-grande",2.381897974,,,1,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=64,random=1234,model=ai21_j1-large",1.34555676,1.538,-0.1924432402,1,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=8,random=1234,model=ai21_j1-jumbo",0.6261977434,0.518,0.1081977434,1,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=2,random=1234,model=ai21_j1-jumbo",1.13395474,0.514,0.6199547396,1536,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=1,random=1234,model=ai21_j1-large",0.4525346994,0.026,0.4265346994,1,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=2,random=1234,model=ai21_j1-large",0.5043399811,0.071,0.4333399811,512,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=4,random=1234,model=ai21_j1-jumbo",0.9036015034,0.499,0.4046015034,1024,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=32,random=1234,model=ai21_j1-large",0.8798882961,0.77,0.1098882961,1,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=64,random=1234,model=ai21_j1-grande",3.846338439,,,1,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=1,random=1234,model=ai21_j1-grande",1.858734417,,,1,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=1,random=1234,model=ai21_j1-jumbo",0.7615296841,0.307,0.4545296841,1024,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,random=1234,model=ai21_j1-grande",3.293327236,,,1024,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=8,random=1234,model=ai21_j1-large",0.3913110733,0.194,0.1973110733,1,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=1,random=1234,model=ai21_j1-jumbo",0.5900044918,0.165,0.4250044918,512,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=32,random=1234,model=ai21_j1-grande",2.875031519,,,512,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=4,random=1234,model=ai21_j1-grande",2.424398851,,,1,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=64,random=1234,model=ai21_j1-grande",2.933130121,,,1024,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=4,random=1234,model=ai21_j1-jumbo",0.4996672869,0.262,0.2376672869,1,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=32,random=1234,model=ai21_j1-large",1.266323733,0.791,0.4753237333,512,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=4,random=1234,model=ai21_j1-jumbo",1.551838779,0.357,1.194838779,512,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=8,random=1234,model=ai21_j1-jumbo",0.8537609339,0.613,0.2407609339,512,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=64,random=1234,model=ai21_j1-large",1.717844725,1.601,0.1168447247,1024,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=2,random=1234,model=ai21_j1-large",0.8720055103,0.157,0.7150055103,1536,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=1,random=1234,model=ai21_j1-large",0.6092241049,0.089,0.5202241049,1024,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,random=1234,model=ai21_j1-grande",2.268911791,,,512,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=32,random=1234,model=ai21_j1-grande",2.232022667,,,1,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=8,random=1234,model=ai21_j1-grande",0.9136237383,,,1,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=1,random=1234,model=ai21_j1-grande",3.577536702,,,1024,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=32,random=1234,model=ai21_j1-large",1.094550514,0.833,0.2615505142,1024,32,32,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=64,random=1234,model=ai21_j1-large",1.45449996,1.559,-0.1045000401,512,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=64,random=1234,model=ai21_j1-jumbo",3.087176991,4.197,-1.109823009,512,64,64,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=4,random=1234,model=ai21_j1-grande",4.304313231,,,1024,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=1,random=1234,model=ai21_j1-grande",2.271809673,,,1536,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=4,random=1234,model=ai21_j1-large",0.518416357,0.119,0.399416357,512,4,4,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,random=1234,model=ai21_j1-large",0.8882850409,0.449,0.4392850409,1024,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=2,random=1234,model=ai21_j1-large",0.3041437149,0.05,0.2541437149,1,2,2,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=8,random=1234,model=ai21_j1-large",0.8882452488,0.257,0.6312452488,1024,8,8,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1536,num_output_tokens=1,random=1234,model=ai21_j1-jumbo",1.258612418,0.45,0.8086124182,1536,1,1,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=512,num_output_tokens=16,random=1234,model=ai21_j1-jumbo",1.362501884,1.125,0.2375018835,512,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1024,num_output_tokens=16,random=1234,model=ai21_j1-jumbo",1.925837207,1.267,0.6588372068,1024,16,16,1,0,0,0,0
"synthetic_efficiency:tokenizer=ai21,num_input_tokens=1,num_output_tokens=16,random=1234,model=ai21_j1-grande",1.288212562,,,1,16,16,1,0,0,0,0
